user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments,day,month,year,day_of_week,is_weekend,hour,time_of_day,engagement_ratio,usage_intensity
1051,2024-01-01 00:00:00.000000000,Camera,Utilities,24.53,2,7,False,0.0,0.0,0.0,1,1,2024,0,False,0,Night,0.28536485935589073,0.08153281695882593
1088,2024-01-01 00:43:41.673891297,Chrome,Utilities,19.78,3,2,False,0.0,0.0,0.0,1,1,2024,0,False,0,Night,0.10111223458038422,0.15166835187057634
1052,2024-01-01 01:27:23.347782594,Spotify,Entertainment,32.03,1,6,False,0.0,0.0,0.0,1,1,2024,0,False,1,Night,0.18732438339057134,0.031220730565095223
1028,2024-01-01 02:11:05.021673891,Google Maps,Utilities,19.1,2,5,False,0.0,0.0,0.0,1,1,2024,0,False,2,Night,0.2617801047120419,0.10471204188481674
1034,2024-01-01 02:54:46.695565188,Instagram,Social,25.19,1,5,False,0.0,0.0,0.0,1,1,2024,0,False,2,Night,0.19849146486701072,0.03969829297340214
1064,2024-01-01 03:38:28.369456485,Chrome,Utilities,85.15,2,5,False,0.0,0.0,0.0,1,1,2024,0,False,3,Night,0.05871990604815032,0.023487962419260128
1063,2024-01-01 04:22:10.043347782,Instagram,Social,4.37,0,5,False,0.0,0.0,0.0,1,1,2024,0,False,4,Night,1.1441647597254003,0.0
1095,2024-01-01 05:05:51.717239079,Camera,Utilities,57.35,2,5,False,0.0,0.0,0.0,1,1,2024,0,False,5,Night,0.08718395815170009,0.03487358326068003
1060,2024-01-01 05:49:33.391130376,Instagram,Social,58.42,3,2,False,0.0,0.0,0.0,1,1,2024,0,False,5,Night,0.034234851078397806,0.05135227661759671
1016,2024-01-01 06:33:15.065021673,Snapchat,Social,5.08,0,7,False,0.0,0.0,0.0,1,1,2024,0,False,6,Night,1.3779527559055118,0.0
1060,2024-01-01 07:16:56.738912970,Instagram,Social,36.16,5,4,False,0.0,0.0,0.0,1,1,2024,0,False,7,Morning,0.11061946902654868,0.13827433628318586
1044,2024-01-01 08:00:38.412804268,Twitch,Entertainment,6.18,5,7,False,0.0,0.0,0.0,1,1,2024,0,False,8,Morning,1.132686084142395,0.8090614886731392
1065,2024-01-01 08:44:20.086695565,Instagram,Social,31.61,5,5,False,0.0,0.0,0.0,1,1,2024,0,False,8,Morning,0.15817779183802594,0.15817779183802594
1059,2024-01-01 09:28:01.760586862,Snapchat,Social,110.47,5,1,False,0.0,0.0,0.0,1,1,2024,0,False,9,Morning,0.009052231375033946,0.04526115687516973
1041,2024-01-01 10:11:43.434478159,Netflix,Entertainment,4.1,2,4,False,0.0,0.0,0.0,1,1,2024,0,False,10,Morning,0.9756097560975611,0.48780487804878053
1079,2024-01-01 10:55:25.108369456,Slack,Productivity,5.97,5,4,True,0.0,0.0,0.0,1,1,2024,0,False,10,Morning,0.6700167504187605,0.8375209380234506
1087,2024-01-01 11:39:06.782260753,Gmail,Utilities,19.5,4,3,False,0.0,0.0,0.0,1,1,2024,0,False,11,Morning,0.15384615384615385,0.20512820512820512
1003,2024-01-01 12:22:48.456152050,Google Docs,Productivity,33.26,3,5,True,0.0,0.0,0.0,1,1,2024,0,False,12,Morning,0.1503307276007216,0.09019843656043296
1041,2024-01-01 13:06:30.130043347,Instagram,Social,13.79,0,1,False,0.0,0.0,0.0,1,1,2024,0,False,13,Afternoon,0.07251631617113852,0.0
1022,2024-01-01 13:50:11.803934644,Gmail,Utilities,21.07,2,3,False,0.0,0.0,0.0,1,1,2024,0,False,13,Afternoon,0.14238253440911247,0.09492168960607499
1093,2024-01-01 14:33:53.477825941,Gmail,Utilities,9.53,3,4,False,0.0,0.0,0.0,1,1,2024,0,False,14,Afternoon,0.41972717733473247,0.3147953830010493
1069,2024-01-01 15:17:35.151717239,Snapchat,Social,21.09,2,3,False,0.0,0.0,0.0,1,1,2024,0,False,15,Afternoon,0.1422475106685633,0.0948316737790422
1056,2024-01-01 16:01:16.825608536,Slack,Productivity,33.38,4,1,True,0.0,0.0,0.0,1,1,2024,0,False,16,Afternoon,0.029958058717795083,0.11983223487118033
1014,2024-01-01 16:44:58.499499833,Twitch,Entertainment,9.63,1,6,False,0.0,0.0,0.0,1,1,2024,0,False,16,Afternoon,0.6230529595015576,0.10384215991692626
1019,2024-01-01 17:28:40.173391130,Snapchat,Social,84.67,3,5,False,0.0,0.0,0.0,1,1,2024,0,False,17,Afternoon,0.059052793197118224,0.035431675918270934
1027,2024-01-01 18:12:21.847282427,Microsoft Teams,Productivity,54.04,4,6,True,0.0,0.0,0.0,1,1,2024,0,False,18,Afternoon,0.11102886750555145,0.07401924500370097
1028,2024-01-01 18:56:03.521173724,Camera,Utilities,12.75,3,4,False,0.0,0.0,0.0,1,1,2024,0,False,18,Afternoon,0.3137254901960784,0.23529411764705882
1048,2024-01-01 19:39:45.195065021,Slack,Productivity,6.41,2,6,True,0.0,0.0,0.0,1,1,2024,0,False,19,Evening,0.9360374414976599,0.31201248049922
1004,2024-01-01 20:23:26.868956318,YouTube,Entertainment,5.96,3,4,False,141455.0,12489.0,386.0,1,1,2024,0,False,20,Evening,0.6711409395973155,0.5033557046979866
1041,2024-01-01 21:07:08.542847615,WhatsApp,Social,57.81,1,5,False,0.0,0.0,0.0,1,1,2024,0,False,21,Evening,0.0864902266043937,0.01729804532087874
1009,2024-01-01 21:50:50.216738912,Snapchat,Social,8.23,0,10,False,0.0,0.0,0.0,1,1,2024,0,False,21,Evening,1.215066828675577,0.0
